asin,date_at,buybox_price
B001B0V5GG,2018-01-19 02:04:00,0.0000
B001B0V5GG,2018-01-24 00:36:00,13.1600
B001B0V5GG,2018-01-24 02:24:00,0.0000
B001B0V5GG,2018-01-24 05:42:00,13.1600
B001B0V5GG,2018-01-24 09:04:00,0.0000
B001B0V5GG,2018-01-24 16:06:00,12.8300
B001B0V5GG,2018-01-24 19:26:00,0.0000
B001B0V5GG,2018-01-25 19:44:00,9.3300
B001B0V5GG,2018-01-25 23:10:00,0.0000
B001B0V5GG,2018-01-30 03:36:00,9.3300
B001B0V5GG,2018-01-30 23:46:00,0.0000
B001B0V5GG,2018-01-31 21:20:00,10.1600
B001B0V5GG,2018-01-31 23:38:00,0.0000
B001B0V5GG,2018-02-06 14:52:00,10.1600
B001B0V5GG,2018-02-09 02:32:00,0.0000
B001B0V5GG,2018-02-10 19:16:00,10.1600
B001B0V5GG,2018-02-11 04:24:00,0.0000
B001B0V5GG,2018-02-14 23:44:00,11.9700
B001B0V5GG,2018-02-15 16:54:00,0.0000
B001B0V5GG,2018-02-15 21:00:00,11.6100
B001B0V5GG,2018-02-16 15:44:00,0.0000
B001B0V5GG,2018-02-17 22:32:00,10.5100
B001B0V5GG,2018-02-18 22:52:00,0.0000
B001B0V5GG,2018-02-22 12:56:00,10.1600
B001B0V5GG,2018-02-22 17:00:00,11.9900
B001B0V5GG,2018-02-22 18:20:00,0.0000
B001B0V5GG,2018-02-23 10:36:00,11.9900
B001B0V5GG,2018-02-23 11:52:00,0.0000
B001B0V5GG,2018-02-24 07:52:00,11.9200
B001B0V5GG,2018-02-27 10:42:00,10.1600
B001B0V5GG,2018-02-27 21:08:00,0.0000
B001B0V5GG,2018-03-01 20:00:00,11.4800
B001B0V5GG,2018-03-01 23:50:00,0.0000
B001B0V5GG,2018-03-02 06:20:00,11.4800
B001B0V5GG,2018-03-02 08:04:00,0.0000
B001B0V5GG,2018-03-02 09:06:00,11.6500
B001B0V5GG,2018-03-03 15:06:00,0.0000
B001B0V5GG,2018-03-09 07:16:00,10.5000
B001B0V5GG,2018-03-11 02:08:00,0.0000
B001B0V5GG,2018-03-14 18:16:00,10.5000
B001B0V5GG,2018-03-16 08:42:00,0.0000
B001B0V5GG,2018-03-19 19:46:00,10.5000
B001B0V5GG,2018-03-19 21:04:00,0.0000
B001B0V5GG,2018-03-20 02:28:00,10.5000
B001B0V5GG,2018-03-21 01:16:00,0.0000
B001B0V5GG,2018-03-23 19:24:00,10.1600
B001B0V5GG,2018-03-25 21:50:00,0.0000
B001B0V5GG,2018-03-26 14:38:00,10.1600
B001B0V5GG,2018-03-26 15:54:00,0.0000
B001B0V5GG,2018-03-26 22:12:00,10.1600
B001B0V5GG,2018-03-27 00:22:00,0.0000
B001B0V5GG,2018-03-27 04:52:00,10.1600
B001B0V5GG,2018-03-27 12:08:00,0.0000
B001B0V5GG,2018-03-27 23:28:00,10.1600
B001B0V5GG,2018-03-28 02:28:00,0.0000
B001B0V5GG,2018-03-28 22:24:00,10.1600
B001B0V5GG,2018-03-30 14:56:00,0.0000
B001B0V5GG,2018-03-31 19:40:00,10.1600
B001B0V5GG,2018-04-02 10:30:00,0.0000
B001B0V5GG,2018-04-08 00:00:00,11.1900
B001B0V5GG,2018-04-08 01:40:00,0.0000
B001B0V5GG,2018-04-13 20:06:00,7.1900
B001B0V5GG,2018-04-15 14:54:00,7.0900
B001B0V5GG,2018-04-15 23:32:00,0.0000
B001B0V5GG,2018-04-17 11:24:00,7.0900
B001B0V5GG,2018-04-17 19:32:00,0.0000
B001B0V5GG,2018-04-19 01:28:00,9.0600
B001B0V5GG,2018-04-19 18:06:00,0.0000
B001B0V5GG,2018-04-23 22:10:00,10.9900
B001B0V5GG,2018-04-24 00:04:00,0.0000
B001B0V5GG,2018-04-24 07:20:00,10.9900
B001B0V5GG,2018-04-25 19:08:00,0.0000
B001B0V5GG,2018-04-30 19:28:00,10.9900
B001B0V5GG,2018-05-01 11:44:00,0.0000
B001B0V5GG,2018-05-01 20:24:00,10.9900
B001B0V5GG,2018-05-02 03:30:00,0.0000
B001B0V5GG,2018-05-05 16:40:00,11.1800
