method,n_features,train_score,test_score,train_cv_score_mean,train_cv_score_std,test_cv_score_mean,test_cv_score_std,error,cv_error
RFECV,8,0.841397849462366,0.827956989247312,0.830558558558559,0.037863843487113,0.838011695906433,0.0599693274540083,0.013,0.007
RFE,12,0.846774193548387,0.817204301075269,0.836,0.036502458966372,0.849122807017544,0.0631362319357463,0.03,0.013
SelectKBest + GridSearchCV,11,0.854838709677419,0.817204301075269,0.836,0.0554255321240388,0.827485380116959,0.0801404328099457,0.038,0.009
